Prscrbr_Geo_Desc,Gnrc_Name,DY13,DY14,DY15,DY16,DY17,DY18,DY19,DY20,DY21
Alabama,Amoxicillin/Potassium Clav,66327,69481,77180,81169,"19,889,266",93526,100678,84563,89884
Alabama,Ampicillin Sodium,164,51,125,157,195,121,189,189,273
Alabama,Ampicillin Sodium/Sulbactam Na,62,69,178,112,14421,134,41,153,169
Alabama,Ampicillin Trihydrate,3546,3583,4025,3832,"3,562",3248,2665,2339,2102
Alabama,Anagrelide Hcl,1213,1184,1012,910,874,836,762,573,584
Alabama,Anakinra,101,109,108,110,96,98,109,100,104
Alabama,Anastrozole,18027,18304,18330,18437,"1,778,038",17912,16996,17729,18147
Alabama,Apixaban,2608,18213,53843,96282,"1,24,490",174518,233621,286323,320746
Alabama,Apomorphine Hcl,20,26,43,37,35,36,39,73,64
Alabama,Apraclonidine Hcl,61,31,35,65,76,83,71,56,76
Alabama,Arformoterol Tartrate,136,157,208,305,449,303,264,112,114
Alabama,Aripiprazole,43975,44979,45596,45963,"17,234,464,485,327",52162,54861,58034,58854
Alabama,Armodafinil,3835,4259,4107,4331,"3,506,450",3615,3501,3501,3417
Alabama,Asenapine Maleate,4071,4019,3985,4145,"3,836",3470,3016,2681,2375
Alabama,Aspirin/Dipyridamole,18927,15435,12442,10114,"17,566,430",6097,4922,4267,3152
Alabama,Atazanavir Sulfate,2241,1732,1396,953,758,583,381,250,178
Alabama,Atenolol,229552,210440,196716,185918,"1,59,366148",137018,127172,120738,114731
Alabama,Atenolol/Chlorthalidone,19068,17329,16793,15807,"14,190",12700,11450,10767,10453
Alabama,Atomoxetine Hcl,1448,1543,1520,1581,875893,1859,2159,2663,2798
Alabama,Atorvastatin Calcium,460663,530076,600896,671260,"7,09,747411",743022,782636,837843,883700
Alabama,Atovaquone,152,192,251,203,211,264,288,314,293
Alabama,Atovaquone/Proguanil Hcl,214,239,243,251,306,327,360,103,86
Alabama,Atropine Sulfate,954,996,895,1522,"1,628",1728,1800,2159,2151
Alabama,Axitinib,124,110,78,79,43,45,144,245,327
Alabama,Azathioprine,8232,8459,8235,8947,"9,145",8760,8441,8109,8033
Alabama,Azelaic Acid,796,876,853,563,20578,638,714,719,994
Alabama,Azelastine Hcl,19301,20795,22903,26611,"30,005",34639,37934,39918,43981
Alabama,Azelastine/Fluticasone,1356,2622,2716,1739,"1,119",1026,865,931,1034
Alabama,Azilsartan Med/Chlorthalidone,594,902,1085,904,978,1199,1229,1310,1437
Alabama,Azilsartan Medoxomil,449,709,628,632,628,774,1083,1114,1176
Alabama,Azithromycin,152014,146111,162354,157250,"2961,60,35515",155923,157420,160369,165380
Alabama,Aztreonam,73,83,94,198,122,146,148,125,93
Alabama,Aztreonam Lysine,39,39,35,57,61,69,69,46,45
Alabama,Bacitracin,1069,1401,1876,1435,"1,163",961,856,597,433
Alabama,Bacitracin/Polymyxin B Sulfate,846,823,763,998,401233,581,771,535,503
Alabama,Baclofen,54394,66919,77804,85525,"89,028",93836,95601,95492,94919
Alabama,Balsalazide Disodium,1346,1668,1720,2086,"2,183",2240,2008,2104,2084
Alabama,Beclomethasone Dipropionate,6088,6453,6807,5496,"333,063,163",2144,1736,1569,1346
Alabama,Benazepril Hcl,81276,74081,69409,63394,"57,400",52515,50103,49129,45604
Alabama,Benazepril/Hydrochlorothiazide,20309,17918,15643,13989,"12,282",10559,9370,8824,8173
Alabama,Benzonatate,1336,23,40,89,144,252,252,116,111
Alabama,Benztropine Mesylate,46794,44491,44672,43940,"44,698",43485,43978,42425,40214
Alabama,Bepotastine Besilate,538,373,317,263,351,425,641,437,601
Alabama,Besifloxacin Hcl,5154,4908,4190,2952,"2,529",2700,2181,1219,1124
Alabama,Betamethasone Dipropionate,5611,5632,6187,6874,"779,112",9552,10025,10527,11392
Alabama,Betamethasone Valerate,3229,3208,3273,3344,"3,433",3517,3215,3144,3567
Alabama,Betamethasone/Propylene Glyc,3463,3229,3365,3818,"4,423",4567,4482,4445,4130
Alabama,Betaxolol Hcl,1490,1253,970,776,512216,630,553,492,538
Alabama,Bethanechol Chloride,4522,4693,4857,5153,"5,325",5158,5175,5023,4869
Alabama,Bexarotene,77,106,121,97,8321,88,107,139,140
Alabama,Bicalutamide,7206,6903,7058,6943,"6,893",6910,6117,5424,4492
Alabama,Bimatoprost,32236,33569,31894,31346,"27,427,950",26336,26258,27162,28676
Alabama,Bismuth/Metronid/Tetracycline,147,162,131,69,83,81,57,59,54
Alabama,Bisoprolol Fumarate,27581,27269,27737,29025,"28,850",28823,27056,28450,29871
Alabama,Bosentan,1363,1187,819,592,524,495,466,466,360
Alabama,Bosutinib,11,12,57,82,117,166,167,201,222
Alabama,Brimonidine Tartrate,29173,29404,29555,31046,"96,252,212,242",31595,32494,32975,34094
Alabama,Brimonidine Tartrate/Timolol,18943,20941,21858,22309,"21,856",23312,23406,23290,22754
Alabama,Brinzolamide,5574,5856,5335,4749,"4,249",5330,4189,3405,2772
Alabama,Bromfenac Sodium,4946,6565,5833,4401,"315,622,748",3511,4253,4933,5866
Alabama,Bromocriptine Mesylate,1220,1273,1145,1115,919132,1152,1124,995,951
Alabama,Budesonide,5387,5905,6454,6553,"18,583,653,111,406,100",7844,8531,8901,8301
Alabama,Budesonide/Formoterol Fumarate,43707,49212,58814,67359,"56,689",59030,62863,65166,61352
Alabama,Bumetanide,44004,34622,35497,38187,"38,136",37838,39471,39889,38376
Alabama,Buprenorphine,2176,4188,4965,6008,"7,806,258",6863,7393,7931,9537
Alabama,Buprenorphine Hcl,1020,1677,2520,2190,"5,462,370",4603,6131,8293,8728
Alabama,Buprenorphine Hcl/Naloxone Hcl,13067,13834,17124,22155,"146,332,823,734,625",33772,38985,43377,44609
Alabama,Bupropion Hbr,57,38,45,54,58,52,77,88,89
Alabama,Bupropion Hcl,97098,100171,108126,115535,"1,036,836,612,717,200,000,000",119519,121280,123915,126531
Alabama,Buspirone Hcl,57497,63169,69349,77734,"88,944",98890,114725,132946,139577
Alabama,Butalb/Acetaminophen/Caffeine,249,15948,14654,13013,"1,425,726",12485,12641,15588,14601
Alabama,Butalbit/Acetamin/Caff/Codeine,1394,1287,1291,1057,173689,758,710,650,513
Alabama,Butalbital/Acetaminophen,75,943,652,514,60498,438,516,496,468
Alabama,Butalbital/Aspirin/Caffeine,26,1816,1466,1192,"1,241",1066,1112,1073,819
Alabama,Butorphanol Tartrate,1939,2055,1932,1878,"1,627",1543,1428,1348,1317
Alabama,C1 Esterase Inhibitor,96,82,73,121,327215,155,109,50,66
Alabama,Cabergoline,831,854,875,899,"1,051",1176,1162,1118,1136
Alabama,Calcipotriene,900,1038,938,958,"1,618",4003,2542,1573,1329
Alabama,Calcipotriene/Betamethasone,298,266,233,161,1983268,279,227,244,318
Alabama,"Calcitonin,salmon,synthetic",7309,5789,4952,4374,"397,514",3707,3176,2801,2759
Alabama,Calcitriol,13001,13588,14867,16094,"16,368",14889,14561,14247,13664
Alabama,Calcium Acetate,12316,11024,11235,11087,"9,908,148",9594,7632,6809,5617
Alabama,Canagliflozin,1150,8733,24125,30208,"28,196",20790,14679,16086,12576
Alabama,Candesartan Cilexetil,2819,3094,3103,2803,"882,450",2819,4547,4921,4891
Alabama,Candesartan/Hydrochlorothiazid,1115,1011,871,807,31815,899,1376,1546,1625
Alabama,Captopril,11259,9308,7380,6015,"4,761",3130,2432,2268,1799
Alabama,Carbamazepine,32990,31332,30504,30230,"180,017,705,246,150,000,000,000",27616,26681,26368,24731
Alabama,Carbidopa,520,387,239,308,308,286,324,402,341
Alabama,Carbidopa/Levodopa,52895,51309,51995,53039,"46,112,693,852,036",53248,54091,52673,52650
Alabama,Carbidopa/Levodopa/Entacapone,5510,4604,3877,3315,"312,057",2888,2612,2535,1849
Alabama,Carbinoxamine Maleate,985,666,317,164,130,148,184,153,161
Alabama,Carisoprodol,78114,51224,26526,13553,"1,043,315",6021,5143,4873,5183
Alabama,Carteolol Hcl,391,285,249,264,217,234,197,257,214
Alabama,Carvedilol,413336,406833,403979,405137,"3,94,546115",386103,374729,371444,364824
Alabama,Carvedilol Phosphate,7453,6152,5565,2882,"1,061,830",1703,1419,1385,1299
Alabama,Cefaclor,581,482,406,356,352,224,235,156,131
Alabama,Cefazolin Sodium,479,539,924,812,986,1232,1246,1279,1310
Alabama,Cefdinir,31328,34548,42324,48562,"56,914",64484,74355,60946,66605
Alabama,Cefepime Hcl,935,877,1275,1185,"1,640",1836,2196,2301,2162
Alabama,Cefixime,426,312,185,133,12188,145,165,92,209
Alabama,Cefoxitin Sodium,47,60,41,56,29,82,30,48,31
Alabama,Cefpodoxime Proxetil,666,723,746,785,"1,021",1128,1224,1453,1546
Alabama,Cefprozil,3247,2937,2910,2825,"2,645",2293,2172,1412,1330
Alabama,Ceftaroline Fosamil Acetate,112,209,148,107,85,141,170,124,62
Alabama,Ceftriaxone Sodium,9072,9003,10211,10388,"9,730",9289,10181,11025,9158
Alabama,Cefuroxime Axetil,29277,28048,29915,28683,"2,728,040",27229,27533,20691,19679
Alabama,Celecoxib,77963,73260,75716,78980,"71,582,721",88305,93129,100516,112557
Alabama,Cephalexin,102668,102798,107255,108904,"1,12,512",115969,118965,109402,111440
Alabama,Certolizumab Pegol,553,683,760,814,825,848,750,816,917
Alabama,Cetirizine Hcl,287,226,142,167,195,253,298,309,348
Alabama,Cevimeline Hcl,1479,1663,1813,1629,"1,718",1753,1935,2021,2233
Alabama,Chlorambucil,201,196,186,161,152,94,90,32,21
Alabama,Chlordiazepoxide Hcl,2403,2188,2173,2247,"2,377",2310,2276,2126,1824
Alabama,Chlorhexidine Gluconate,14294,15809,17010,17787,"1,917,174,105",21350,23986,22728,26613
Alabama,Chloroquine Phosphate,100,129,69,34,64,66,44,32,21
Alabama,Chlorpromazine Hcl,6162,5727,5830,5486,"4,764",4877,4766,5067,4830
Alabama,Chlorthalidone,33735,34939,35998,38383,"41,268",45321,48897,51861,54573
Alabama,Chlorzoxazone,3771,2842,2189,1114,"112,097",1503,1651,1356,1195
Alabama,Cholestyramine (With Sugar),6977,7098,7401,7842,"7,811",8055,7920,7655,7526
Alabama,Cholestyramine/Aspartame,3661,3610,3668,3687,"19,701,742",3764,4147,4068,3954
Alabama,Ciclesonide,693,654,450,199,376220,79,88,101,92
Alabama,Ciclopirox,4814,4698,5582,5892,"5,503",5781,6270,6017,6222
Alabama,Ciclopirox Olamine,2813,3044,3440,3802,"4,406",4458,4592,4638,4900
Alabama,Cilostazol,21648,20520,19733,19756,"19,368",18624,18298,17752,17116
Alabama,Cimetidine,3737,3326,2820,2640,"2,206",1660,883,4085,3462
Alabama,Cinacalcet Hcl,18474,19188,22003,21300,"20,901",3328,3154,2815,2595
Alabama,Ciprofloxacin,137,160,91,43,4416,22,16,27,43
Alabama,Ciprofloxacin Hcl,147551,145077,146309,134102,"921,21,145",112686,102611,93939,91660
Alabama,Ciprofloxacin Hcl/Dexameth,2871,3030,2885,3254,"3,209",3591,3568,3064,3561
Alabama,Ciprofloxacin/Hydrocortisone,399,320,329,208,204,185,142,126,113
Alabama,Citalopram Hydrobromide,256329,241249,227549,217140,"671,97,881",178488,165136,157618,149429
Alabama,Citric Acid/Sodium Citrate,267,260,74,63,20,20,38,29,24
Alabama,Clarithromycin,13851,11740,11545,11024,"9,711,317",8802,7914,6071,5488
Alabama,Clemastine Fumarate,405,245,163,129,101,250,207,118,78
Alabama,Clindamycin Hcl,39051,43056,46676,49798,"51,668",53996,56891,53308,54941
Alabama,Clindamycin Palmitate Hcl,107,123,139,145,4989,124,118,133,163
Alabama,Clindamycin Phos/Benzoyl Perox,226,232,287,199,35172,283,256,211,166
Alabama,Clindamycin Phosphate,4312,4566,5046,5252,"523,423",6014,6329,6349,6778
Alabama,Clobazam,241,368,523,687,787,810,995,1069,1207
Alabama,Clobetasol Propionate,23641,25966,25979,25406,"21,962",21064,21219,22972,29404
Alabama,Clobetasol Propionate/Emoll,933,984,1045,1018,70030,531,404,434,472
Alabama,Clocortolone Pivalate,98,107,99,60,26,34,18,23,17
Alabama,Clomipramine Hcl,1717,1553,1417,1305,"121,468",1343,1201,1210,1165
Alabama,Clonazepam,250617,267289,272510,277389,"2,66,747211",253060,239557,238505,231179
Alabama,Clonidine,10008,9693,9881,10728,"355,710,440",11088,11853,11535,11393
Alabama,Clonidine Hcl,176807,161422,148872,139176,"301,29,417109",121165,112110,106196,98884
Alabama,Clopidogrel Bisulfate,336387,317408,302879,293416,"2,80,500642",269523,259534,252428,242352
Alabama,Clorazepate Dipotassium,8270,8412,8276,7906,"716,613",6079,4951,4416,3862
Alabama,Clotrimazole,5336,4750,5124,5520,"5,584",6079,6715,6449,7112
Alabama,Clotrimazole/Betamethasone Dip,26745,25730,25695,23786,"22,718",21321,26316,26823,26772
Alabama,Clozapine,8312,8277,8763,8502,"8,786,897,922",9744,9827,9775,9810
Alabama,Codeine Sulfate,224,187,212,233,199,178,130,114,103
Alabama,Codeine/Butalbital/Asa/Caffein,1802,1456,1193,1012,43449049,681,635,515,368
Alabama,Colchicine,40248,40963,39182,37588,"1,896,917,834,105",36714,37339,37254,35555
Alabama,Colesevelam Hcl,18435,18117,15875,12947,"11,606",11262,9786,9418,8309
Alabama,Colestipol Hcl,5288,5784,6425,7816,"7,968",8269,9478,10046,10618
Alabama,Colistin (Colistimethate Na),12,27,67,36,28,45,55,77,99
Alabama,Collagenase Clostridium Hist.,6488,6025,5743,5557,"518,921",4979,5064,4813,4631
Alabama,Corticotropin,147,238,167,217,179,246,248,235,181
Alabama,Crizotinib,46,102,104,85,73,27,55,48,31
Alabama,Cromolyn Sodium,580,518,541,431,389,359,381,416,322
Alabama,Cyclobenzaprine Hcl,141782,88437,106274,79994,"1541,07,888",108264,114702,123102,132314
Alabama,Cyclopentolate Hcl,633,580,362,401,291,332,348,203,204
Alabama,Cyclophosphamide,207,211,196,164,163,138,109,115,119
Alabama,Cyclosporine,20699,21976,23016,22775,"36,720,678,207,039",24829,24932,23011,24529
Alabama,"Cyclosporine, Modified",1159,1105,1030,1084,742107121,944,859,873,788
Alabama,Cyproheptadine Hcl,9211,9817,5518,5741,"7,152",7799,7500,8708,9068
Alabama,Dabigatran Etexilate Mesylate,35400,30895,27146,23505,"20,694",16746,13557,10521,8337
Alabama,Dabrafenib Mesylate,19,130,108,118,125,154,124,137,91
Alabama,Dalfampridine,756,1023,1291,1501,"1,621",1774,1857,1933,1925
Alabama,Danazol,211,188,208,202,163,184,181,160,106
Alabama,Dantrolene Sodium,944,946,949,982,"1,007",1128,1015,1062,1068
Alabama,Dapsone,1648,1804,1715,1689,"571,839",1979,2093,2102,2347
Alabama,Daptomycin,1283,1319,1235,1158,449204947,2408,2980,3140,3952
Alabama,Darbepoetin Alfa In Polysorbat,178,173,135,129,75,111,65,73,65
Alabama,Darifenacin Hydrobromide,6333,3504,2011,1009,629124,674,456,429,513
Alabama,Darunavir Ethanolate,5252,5290,5005,4083,"3,602",3271,2433,1941,1626
Alabama,Dasatinib,414,423,533,608,627,616,666,654,742
Alabama,Deferasirox,305,328,346,448,75364,511,558,460,583
Alabama,Demeclocycline Hcl,527,558,502,342,351,322,246,241,274
Alabama,Denosumab,643,1255,1771,1979,"231,972",2467,2801,2815,3149
Alabama,Desipramine Hcl,1100,1053,1032,973,920,812,753,619,605
Alabama,Desloratadine,1870,2449,2613,2003,"442,297",2544,2875,3194,3018
Alabama,Desloratadine/Pseudoephedrine,57,49,73,45,40,49,46,27,19
Alabama,Desmopressin (Nonrefrigerated),53,133,180,258,292,386,447,525,493
Alabama,Desmopressin Acetate,2482,2654,2726,2580,"2,592",2649,2757,2918,2937
Alabama,Desog-E.Estradiol/E.Estradiol,180,190,213,160,44142373,137,106,86,65
Alabama,Desogestrel-Ethinyl Estradiol,452,459,420,375,9.31323E+14,330,283,214,239
Alabama,Desonide,8313,7418,6463,4766,"123,872",3166,2709,2788,2614
Alabama,Desoximetasone,6055,5853,5774,4440,"410,731",3448,2767,2494,2052
Alabama,Desvenlafaxine Succinate,14610,13799,13005,12451,"81,893,709",12717,13555,14500,15006
Alabama,Dexamethasone,12747,13232,14655,14916,"15,029,134,038",16293,16858,27947,32541
Alabama,Dexlansoprazole,27411,31013,33138,30173,"28,367",26074,25293,24903,23788
Alabama,Dexmethylphenidate Hcl,870,601,783,950,58343041,1181,1275,1316,1347
Alabama,Dextroamphetamine Sulfate,1777,1863,1955,1952,"23,108,777,728",1790,1704,1719,1750
Alabama,Dextroamphetamine/Amphetamine,33311,38921,43963,48388,"823,381,129,441,400",57054,57180,58060,59467
Alabama,Dextromethorphan Hbr/Quinidine,5968,6909,10426,15231,"17,568",15570,14068,10002,7498
Alabama,Dextrose 5 % And 0.9 % Nacl,122,124,106,97,82,98,59,143,103
Alabama,Dextrose 5 % In Water,321,423,365,323,228,236,216,458,513
Alabama,Diazepam,88952,88968,89212,83836,"2,477,589,172",67949,59536,55041,53055
Alabama,Diazoxide,22,12,25,34,24,27,23,25,32
Alabama,Diclofenac Epolamine,1426,1493,773,644,630,475,619,1786,1551
Alabama,Diclofenac Potassium,3938,4750,5832,6529,"1,566,537,180",7333,2198,3799,4552
Alabama,Diclofenac Sodium,68879,78145,87366,99845,"85,898,379,432,820,000",120275,147555,176392,167968
Alabama,Diclofenac Sodium/Misoprostol,3202,3252,3135,2332,"432,025",1911,1702,1666,1437
Alabama,Dicloxacillin Sodium,614,567,580,495,461,473,459,405,303
Alabama,Dicyclomine Hcl,31372,35263,42803,47269,"49,064",50980,52466,54052,56553
Alabama,Diflorasone Diacetate,515,414,387,158,67,41,177,271,211
Alabama,Diflunisal,524,462,363,340,331,205,204,121,128
Alabama,Difluprednate,6847,8043,12923,15894,"14,240",14670,13871,7215,5639
Alabama,Digoxin,113604,98547,84366,71894,"45,821,277,045,930,200",52717,43941,36695,31572
Alabama,Dihydroergotamine Mesylate,176,125,124,74,7421,176,111,149,224
Alabama,Diltiazem Hcl,169693,161243,156787,152755,"16,274,379,361,007,600,000,000,000,000,000,000,000,000,000,000",140290,137608,133663,127189
Alabama,Dimethyl Fumarate,494,1418,2028,1950,"1,903",1961,2140,1947,1851
Alabama,"Diph,pertuss(Acell),tet Vac/Pf",1190,1675,2701,2561,"2,743",2414,2478,1895,1527
Alabama,Diphenhydramine Hcl,751,489,733,762,596,616,707,1144,1237
Alabama,Diphenoxylate Hcl/Atropine,22716,21435,23101,22214,"21,018",18106,17201,17772,18473
Alabama,"Diphth,pertuss(Acell),tet Vac",1067,2415,2570,3520,"5,313",7951,8819,6808,7619
Alabama,Dipyridamole,3871,2584,1627,1125,952,813,728,628,536
Alabama,Disopyramide Phosphate,502,406,277,237,161,138,173,156,94
Alabama,Disulfiram,229,212,177,238,249,273,260,209,210
Alabama,Divalproex Sodium,85118,83769,85913,89631,"261,508,705,394,838,000",94823,95618,92950,89115
Alabama,Dofetilide,1285,1424,1938,1561,"1,365,134",1686,1850,2029,2306
Alabama,Dolutegravir Sodium,70,1052,2143,3440,"5,391",6580,6371,6261,5735
Alabama,Donepezil Hcl,171447,166877,170624,175705,"1101,69,596761",168213,166554,161925,157462
Alabama,Dorzolamide Hcl,6186,7497,8457,10023,"10,529",10096,13005,13011,13906
Alabama,Dorzolamide Hcl/Timolol Maleat,26633,28108,30051,31937,"20,332,114",25604,28695,33171,37660
Alabama,Dorzolamide/Timolol/Pf,227,362,371,345,446,926,1125,985,1103
Alabama,Doxazosin Mesylate,52786,49383,47340,44844,"282,141,427",38576,35968,34740,33576
Alabama,Doxepin Hcl,31908,31263,31173,30917,"380,892,901",34956,31555,33406,32833
Alabama,Doxycycline Hyclate,66418,65383,72258,76093,"3,389,594",102522,117008,105242,113030
Alabama,Doxycycline Monohydrate,8247,10129,12858,17391,"1,602,155,098",24357,25500,22759,27110
Alabama,Dronabinol,2301,2439,2461,2872,"2,875",3160,3405,3589,3709
Alabama,Dronedarone Hcl,10670,10815,10974,10633,"10,232",9593,9541,9972,9658
Alabama,Drospirenone/Estradiol,61,50,40,34,23,25,22,24,27
Alabama,Duloxetine Hcl,150943,168006,183553,200043,"7042,08,815",219354,229124,239759,242368
Alabama,Dutasteride,27260,24302,20247,17219,"17,115,568",14527,14095,14444,14425
Alabama,Dutasteride/Tamsulosin Hcl,4210,4196,4014,3157,"262,850",1952,1614,1431,1333
Alabama,Econazole Nitrate,4159,4287,4082,3181,"2,280",1825,1720,1405,1052
Alabama,Efavirenz,1808,1514,1404,1176,"1,024",854,650,549,418
Alabama,Eltrombopag Olamine,152,172,222,368,482,544,574,537,648
Alabama,Emtricitabine,393,421,364,297,266,237,209,161,125
Alabama,Enalapril Maleate,90366,78492,67693,60632,"5,336,332",46100,40737,37145,32771
Alabama,Enalapril/Hydrochlorothiazide,9016,7843,6723,6023,"540,231",4779,4208,3772,3438
Alabama,Enoxaparin Sodium,9255,8732,8502,8341,"815,216",7521,6464,6085,6067
Alabama,Entacapone,2152,2237,2036,2132,"2,255",2038,1825,1850,1844
Alabama,Entecavir,225,210,247,298,25315,476,567,629,610
Alabama,Enzalutamide,381,899,1415,1685,"1,383",1715,2091,3057,3993
Alabama,Epinastine Hcl,941,1121,1332,1378,"111,559",1506,1180,912,656
Alabama,Epinephrine,3146,3725,3963,3966,"16,971,727",3390,3812,4426,5794
Alabama,Eplerenone,1932,2129,2107,2216,"222,616",2275,2369,2503,2528
Alabama,Epoetin Alfa,1019,893,825,684,54464,596,660,521,687
Alabama,Erlotinib Hcl,1219,1081,999,789,486,265,144,89,79
Alabama,Ertapenem Sodium,973,1326,1437,1489,"1,503",1607,2162,1983,2559
Alabama,Erythromycin Base,10794,10763,11420,11520,"18,210,868",12807,14064,14421,14705
Alabama,Erythromycin Ethylsuccinate,560,403,276,181,1321102,110,99,88,95
Alabama,Erythromycin/Benzoyl Peroxide,166,132,143,109,113,98,69,63,55
Alabama,Escitalopram Oxalate,160560,172194,185175,195836,"1,96,525390",198957,200631,204852,205143
Alabama,Esomeprazole Magnesium,238932,205451,175690,141491,"9,613,123,025",104541,98539,87784,85350
Alabama,Estazolam,304,244,233,181,166,129,101,76,59
Alabama,Estradiol,91777,85091,77386,78884,"4,717,613,747,905,060,000,000,000,000,000,000,000,000",81630,87376,98499,106030
Alabama,Estradiol Acetate,159,149,169,155,140,123,106,118,117
Alabama,Estradiol Cypionate,240,246,272,275,299,271,250,272,295
Alabama,Estradiol Valerate,180,162,159,160,144,122,165,149,163
Alabama,Estradiol/Levonorgestrel,72,58,58,55,96,66,58,52,59
Alabama,Estradiol/Norethindrone Acet,4985,4160,3564,2807,"2,230,162,113,630,850,000",2415,2426,2486,2695
Alabama,"Estrogen,con/M-Progest Acet",7529,5763,4351,3152,"462,819",2672,2377,2176,2056
Alabama,"Estrogens, Conjugated",63449,49570,37960,26900,"23,301",20764,19181,17679,16736
Alabama,"Estrogens,esterified",951,1016,741,460,416,202,180,173,135
Alabama,Eszopiclone,16922,13726,9175,8236,"868,890",8399,7822,8241,10428
Alabama,Etanercept,6215,6457,6322,5710,"17,564,040",5870,6006,5870,5914
Alabama,Ethacrynic Acid,156,156,118,97,4725,92,90,99,117
Alabama,Ethambutol Hcl,1018,1008,1052,1225,"108,611",1211,1358,1179,1070
Alabama,Ethinyl Estradiol/Drospirenone,488,485,450,392,1.71172E+18,419,350,336,340
Alabama,Ethosuximide,146,159,161,166,17711,189,187,191,190
Alabama,Ethynodiol D-Ethinyl Estradiol,126,146,119,107,303829,103,96,67,60
